Info: Reading netlist file "/home/laudas/eagle/eagle-lbr2kicad/examples/PIXHAWK/kicad_files/PX4FMUv2.4.net".

Info: Using references to match components and footprints.

* Warning: component 'VP_38': board footprint 'VPAC2', netlist footprint 'VPAD_VPAC2'
* Warning: component 'VDD_SERVO1116': board footprint 'PAD.04X.04', netlist footprint 'PIXHAWK2_PAD.04X.04'

* Warning: component 'OSHW_LOGO1116': board footprint 'OSHW-LOGO-S', netlist footprint 'PIXHAWK2_OSHW-LOGO-S'

* Warning: component 'X101': board footprint 'OSCILLATOR-3.2X2.5', netlist footprint 'PIXHAWK2_OSCILLATOR-3.2X2.5'

* Warning: component 'X801': board footprint 'OSCILLATOR-3.2X2.5', netlist footprint 'PIXHAWK2_OSCILLATOR-3.2X2.5'

* Warning: component 'B601': board footprint 'MS621FE', netlist footprint 'PIXHAWK2_MS621FE'

* Warning: component 'U506': board footprint 'MS5611-01BA', netlist footprint 'PIXHAWK2_MS5611-01BA'

* Warning: component 'M3_MOUNT1103': board footprint 'MOUNT-HOLE3.1', netlist footprint 'PIXHAWK2_MOUNT-HOLE3.1'

* Warning: component 'M3_MOUNT1101': board footprint 'MOUNT-HOLE3.1', netlist footprint 'PIXHAWK2_MOUNT-HOLE3.1'

* Warning: component 'M3_MOUNT1102': board footprint 'MOUNT-HOLE3.1', netlist footprint 'PIXHAWK2_MOUNT-HOLE3.1'

* Warning: component 'M3_MOUNT1104': board footprint 'MOUNT-HOLE3.1', netlist footprint 'PIXHAWK2_MOUNT-HOLE3.1'

* Warning: component 'J301': board footprint 'MOLEX-47346-0001', netlist footprint 'PIXHAWK2_MOLEX-47346-0001'

* Warning: component 'U1101': board footprint 'MO-220', netlist footprint 'PIXHAWK2_MO-220'

* Warning: component 'U1002': board footprint 'MLF-8-EPAD', netlist footprint 'PIXHAWK2_MLF-8-EPAD'

* Warning: component 'U603': board footprint 'MLF-8-EPAD', netlist footprint 'PIXHAWK2_MLF-8-EPAD'

* Warning: component 'D1': board footprint 'MICROSMP', netlist footprint 'PIXHAWK2_MICROSMP'

* Warning: component 'U504': board footprint 'LGA-16L', netlist footprint 'PIXHAWK2_LGA-16L'

* Warning: component 'U502': board footprint 'LGA-16L', netlist footprint 'PIXHAWK2_LGA-16L'

* Warning: component 'U501': board footprint 'L3G4200DH-MAN', netlist footprint 'PIXHAWK2_L3G4200DH-MAN'

* Warning: component 'L201': board footprint 'KYOCERA-KNH16-DA', netlist footprint 'PIXHAWK2_KYOCERA-KNH16-DA'

